customer_id,recency_days,frequency,monetary,r_score,f_score,m_score,rfm_score,segment,cluster
12411,409,1,346.9,1,1,2,112,Hibernating / Lost,1
12412,74,6,2596.93,3,3,4,334,Champions,0
12413,66,4,999.45,3,3,3,333,Champions,0
12414,216,6,952.41,2,3,3,233,At-Risk High Value,0
12415,23,28,144458.37,4,4,4,444,Champions,3
12416,656,1,202.56,1,1,1,111,Hibernating / Lost,1
12417,2,20,6797.41,4,4,4,444,Champions,0
12418,112,4,2021.2,2,3,3,233,At-Risk High Value,0
12419,385,2,503.01,1,2,2,122,Hibernating / Lost,1
12420,63,1,600.39,3,1,2,312,Recent / New Customers,0
12421,15,6,1098.6,4,3,3,433,Champions,0
12422,95,17,5231.8,3,4,4,344,Champions,0
12423,0,10,2622.39,4,4,4,444,Champions,0
12424,162,4,3340.0299999999997,2,3,4,234,At-Risk High Value,0
12425,77,2,1741.41,3,2,3,323,Loyal Customers,0
12426,194,2,1345.21,2,2,3,223,Hibernating / Lost,0
12427,21,3,825.8000000000001,4,2,2,422,Loyal Customers,0
12428,25,9,7956.46,4,4,4,444,Champions,0
12429,8,8,6204.41,4,4,4,444,Champions,0
12430,42,1,256.4,3,1,1,311,Recent / New Customers,0
12431,35,27,10432.22,3,4,4,344,Champions,0
12432,42,5,5059.32,3,3,4,334,Champions,0
12433,0,10,16794.14,4,4,4,444,Champions,0
12434,84,3,1103.43,3,2,3,323,Loyal Customers,0
12435,79,6,13925.93,3,3,4,334,Champions,0
12436,99,1,509.01,2,1,2,212,Hibernating / Lost,0
12437,1,39,12683.4,4,4,4,444,Champions,0
12438,13,2,2906.85,4,2,4,424,Loyal Customers,0
12439,682,2,1142.88,1,2,3,123,Hibernating / Lost,1
12440,461,2,859.2,1,2,2,122,Hibernating / Lost,1
12441,366,1,173.55,2,1,1,211,Hibernating / Lost,1
12442,2,1,172.06,4,1,1,411,Recent / New Customers,0
12443,731,1,485.31,1,1,2,112,Hibernating / Lost,1
12444,20,5,5005.46,4,3,4,434,Champions,0
12445,21,2,434.98,4,2,2,422,Loyal Customers,0
12446,57,1,1002.31,3,1,3,313,Recent / New Customers,0
12447,242,1,476.49,2,1,2,212,Hibernating / Lost,0
12448,43,1,449.45,3,1,2,312,Recent / New Customers,0
12449,21,6,4835.89,4,3,4,434,Champions,0
12450,155,5,688.2,2,3,2,232,Needs Attention,0
12451,10,8,12669.88,4,4,4,444,Champions,0
12452,16,2,430.57,4,2,2,422,Loyal Customers,0
12453,133,1,707.09,2,1,2,212,Hibernating / Lost,0
12454,55,5,16679.78,3,3,4,334,Champions,0
12455,72,10,5879.95,3,4,4,344,Champions,0
12456,43,3,3181.04,3,2,4,324,Loyal Customers,0
12457,65,8,2995.91,3,4,4,344,Champions,0
12458,70,4,1777.49,3,3,3,333,Champions,0
12459,604,1,454.36,1,1,2,112,Hibernating / Lost,1
12460,455,1,326.65,1,1,1,111,Hibernating / Lost,1
12461,93,2,826.88,3,2,2,322,Loyal Customers,0
12462,18,2,1189.59,4,2,3,423,Loyal Customers,0
12463,52,4,1344.78,3,3,3,333,Champions,0
12464,9,8,1212.05,4,4,3,443,Champions,0
12465,16,2,742.1899999999999,4,2,2,422,Loyal Customers,0
12466,681,1,56.73,1,1,1,111,Hibernating / Lost,1
12467,422,1,132.8,1,1,1,111,Hibernating / Lost,1
12468,187,5,3670.74,2,3,4,234,At-Risk High Value,0
12469,522,2,3070.54,1,2,4,124,Hibernating / Lost,1
12470,689,1,211.95,1,1,1,111,Hibernating / Lost,1
12471,1,79,39918.19,4,4,4,444,Champions,3
12472,31,19,16249.289999999999,3,4,4,344,Champions,0
12473,28,5,3928.05,3,3,4,334,Champions,0
12474,16,31,12372.75,4,4,4,444,Champions,0
12475,53,2,1149.64,3,2,3,323,Loyal Customers,0
12476,15,23,14083.91,4,4,4,444,Champions,0
12477,22,9,20276.37,4,4,4,444,Champions,0
12478,3,1,680.99,4,1,2,412,Recent / New Customers,0
12479,10,1,527.2,4,1,2,412,Recent / New Customers,0
12480,27,7,5464.85,3,3,4,334,Champions,0
12481,22,15,12185.51,4,4,4,444,Champions,0
12482,575,29,23691.4,1,4,4,144,At-Risk High Value,1
12483,16,19,5097.18,4,4,4,444,Champions,0
12484,32,12,6354.1,3,4,4,344,Champions,0
12485,528,1,708.1,1,1,2,112,Hibernating / Lost,1
12486,431,1,1037.28,1,1,3,113,Hibernating / Lost,1
12487,730,1,285.3,1,1,1,111,Hibernating / Lost,1
12488,9,3,1298.66,4,2,3,423,Loyal Customers,0
12489,335,1,334.93,2,1,1,211,Hibernating / Lost,1
12490,4,21,9823.64,4,4,4,444,Champions,0
12491,38,1,460.4,3,1,2,312,Recent / New Customers,0
12492,62,3,715.21,3,2,2,322,Loyal Customers,0
12493,165,2,433.74,2,2,2,222,Hibernating / Lost,0
12494,15,9,1815.27,4,4,3,443,Champions,0
12495,640,1,357.4,1,1,2,112,Hibernating / Lost,1
12496,619,2,45.34,1,2,1,121,Hibernating / Lost,1
12497,81,3,6248.5,3,2,4,324,Loyal Customers,0
12498,20,3,403.7,4,2,2,422,Loyal Customers,0
12499,559,1,393.72,1,1,2,112,Hibernating / Lost,1
12500,22,19,5955.21,4,4,4,444,Champions,0
12501,336,1,2169.39,2,1,3,213,Hibernating / Lost,1
12502,95,5,3723.87,3,3,4,334,Champions,0
12503,583,1,1126.0,1,1,3,113,Hibernating / Lost,1
12504,17,4,779.05,4,3,2,432,Loyal Customers,0
12505,408,1,955.2,1,1,3,113,Hibernating / Lost,1
12506,232,1,73.5,2,1,1,211,Hibernating / Lost,0
12507,133,4,1844.06,2,3,3,233,At-Risk High Value,0
12508,25,2,397.88,4,2,2,422,Loyal Customers,0
12509,283,1,176.5,2,1,1,211,Hibernating / Lost,1
12510,142,9,5178.02,2,4,4,244,At-Risk High Value,0
12511,428,1,3084.02,1,1,4,114,Hibernating / Lost,1
12512,65,2,132.18,3,2,1,321,Loyal Customers,0
12513,112,1,612.29,2,1,2,212,Hibernating / Lost,0
12514,266,2,1597.76,2,2,3,223,Hibernating / Lost,1
12515,352,1,383.7,2,1,2,212,Hibernating / Lost,1
12516,77,4,2648.62,3,3,4,334,Champions,0
12517,27,5,2481.6,3,3,4,334,Champions,0
12518,0,5,2056.89,4,3,3,433,Champions,0
12519,63,2,716.54,3,2,2,322,Loyal Customers,0
12520,78,5,2634.2599999999998,3,3,4,334,Champions,0
12521,142,1,599.68,2,1,2,212,Hibernating / Lost,0
12522,38,2,192.72,3,2,1,321,Loyal Customers,0
12523,18,23,4352.35,4,4,4,444,Champions,0
12524,8,17,11126.11,4,4,4,444,Champions,0
12525,497,3,973.73,1,2,3,123,Hibernating / Lost,1
12526,0,3,1316.66,4,2,3,423,Loyal Customers,0
12527,81,5,735.51,3,3,2,332,Loyal Customers,0
12528,8,6,1933.48,4,3,3,433,Champions,0
12529,527,1,316.48,1,1,1,111,Hibernating / Lost,1
12530,59,9,3759.2599999999998,3,4,4,344,Champions,0
12531,14,2,1933.2,4,2,3,423,Loyal Customers,0
12532,29,1,349.83,3,1,2,312,Recent / New Customers,0
12533,627,2,1367.89,1,2,3,123,Hibernating / Lost,1
12534,130,1,1089.18,2,1,3,213,Hibernating / Lost,0
12535,91,2,716.35,3,2,2,322,Loyal Customers,0
12536,42,3,12601.830000000002,3,2,4,324,Loyal Customers,0
12537,408,1,732.9399999999999,1,1,2,112,Hibernating / Lost,1
12538,28,2,640.45,3,2,2,322,Loyal Customers,0
12539,21,7,11214.75,4,3,4,434,Champions,0
12540,19,33,22254.489999999998,4,4,4,444,Champions,0
12541,29,3,981.18,3,2,3,323,Loyal Customers,0
12542,483,2,481.88,1,2,2,122,Hibernating / Lost,1
12543,447,1,980.25,1,1,3,113,Hibernating / Lost,1
12544,35,1,372.7,3,1,2,312,Recent / New Customers,0
12545,74,2,1000.39,3,2,3,323,Loyal Customers,0
12546,46,2,1161.5,3,2,3,323,Loyal Customers,0
12547,197,3,383.58,2,2,2,222,Hibernating / Lost,0
12548,165,1,95.19999999999999,2,1,1,211,Hibernating / Lost,0
12549,575,6,1575.6799999999998,1,3,3,133,At-Risk High Value,1
12550,78,1,964.83,3,1,3,313,Recent / New Customers,0
12551,357,1,168.0,2,1,1,211,Hibernating / Lost,1
12552,38,2,437.82,3,2,2,322,Loyal Customers,0
12553,7,12,4608.75,4,4,4,444,Champions,0
12554,448,1,468.5,1,1,2,112,Hibernating / Lost,1
12555,681,1,129.23,1,1,1,111,Hibernating / Lost,1
12556,49,2,599.56,3,2,2,322,Loyal Customers,0
12557,15,8,18096.14,4,4,4,444,Champions,0
12558,7,1,269.96,4,1,1,411,Recent / New Customers,0
12559,310,2,561.71,2,2,2,222,Hibernating / Lost,1
12560,4,3,2134.0099999999998,4,2,3,423,Loyal Customers,0
12561,302,1,238.85,2,1,1,211,Hibernating / Lost,1
12562,7,9,4966.92,4,4,4,444,Champions,0
12563,408,1,249.24,1,1,1,111,Hibernating / Lost,1
12564,260,1,456.9,2,1,2,212,Hibernating / Lost,1
12565,288,1,145.92,2,1,1,211,Hibernating / Lost,1
12566,85,1,351.65,3,1,2,312,Recent / New Customers,0
12567,22,15,11767.48,4,4,4,444,Champions,0
12568,644,1,70.0,1,1,1,111,Hibernating / Lost,1
12569,1,32,4124.69,4,4,4,444,Champions,0
12570,681,1,77.52,1,1,1,111,Hibernating / Lost,1
12571,39,2,519.61,3,2,2,322,Loyal Customers,0
12572,8,2,1020.42,4,2,3,423,Loyal Customers,0
12573,226,5,717.41,2,3,2,232,Needs Attention,0
12574,315,1,218.45,2,1,1,211,Hibernating / Lost,1
12575,456,2,622.82,1,2,2,122,Hibernating / Lost,1
12576,35,8,2142.72,3,4,3,343,Champions,0
12577,34,8,1617.1,3,4,3,343,Champions,0
12578,20,4,4642.45,4,3,4,434,Champions,0
12579,77,1,440.42,3,1,2,312,Recent / New Customers,0
12580,246,2,1052.9,2,2,3,223,Hibernating / Lost,0
12581,39,1,197.71,3,1,1,311,Recent / New Customers,0
12582,238,4,1980.4,2,3,3,233,At-Risk High Value,0
12583,2,27,13591.58,4,4,4,444,Champions,0
12584,3,9,2338.15,4,4,4,444,Champions,0
12585,233,2,2040.1,2,2,3,223,Hibernating / Lost,0
12586,16,4,2062.67,4,3,3,433,Champions,0
12587,7,1,144.0,4,1,1,411,Recent / New Customers,0
12588,38,4,958.78,3,3,3,333,Champions,0
12589,28,8,4695.66,3,4,4,344,Champions,0
12590,210,2,9864.26,2,2,4,224,Hibernating / Lost,0
12591,316,3,1338.95,2,2,3,223,Hibernating / Lost,1
12592,91,5,2582.66,3,3,4,334,Champions,0
12593,108,3,418.1,2,2,2,222,Hibernating / Lost,0
12594,37,15,5090.11,3,4,4,344,Champions,0
12595,504,1,299.02,1,1,1,111,Hibernating / Lost,1
12596,50,2,618.27,3,2,2,322,Loyal Customers,0
12597,18,4,3811.22,4,3,4,434,Champions,0
12598,9,11,4534.09,4,4,4,444,Champions,0
12599,28,13,2296.72,3,4,4,344,Champions,0
12600,28,21,4967.42,3,4,4,344,Champions,0
12601,189,6,681.26,2,3,2,232,Needs Attention,0
12602,58,1,153.12,3,1,1,311,Recent / New Customers,0
12603,21,1,739.2,4,1,2,412,Recent / New Customers,0
12604,78,2,254.17999999999998,3,2,1,321,Loyal Customers,0
12605,375,4,1232.95,2,3,3,233,At-Risk High Value,1
12606,681,1,21.0,1,1,1,111,Hibernating / Lost,1
12607,59,1,1579.51,3,1,3,313,Recent / New Customers,0
12608,404,1,415.79,1,1,2,112,Hibernating / Lost,1
12609,77,9,3435.86,3,4,4,344,Champions,0
12610,22,5,2099.54,4,3,3,433,Champions,0
12611,51,1,1193.32,3,1,3,313,Recent / New Customers,0
12612,73,1,704.04,3,1,2,312,Recent / New Customers,0
12613,56,10,6817.37,3,4,4,344,Champions,0
12614,277,1,315.6,2,1,1,211,Hibernating / Lost,1
12615,1,8,5740.98,4,4,4,444,Champions,0
12616,94,3,1131.1,3,2,3,323,Loyal Customers,0
12617,28,1,352.98,3,1,2,312,Recent / New Customers,0
12618,21,1,177.31,4,1,1,411,Recent / New Customers,0
12619,15,10,3781.38,4,4,4,444,Champions,0
12620,14,3,1339.41,4,2,3,423,Loyal Customers,0
12621,1,35,24311.2,4,4,4,444,Champions,0
12622,231,1,180.1,2,1,1,211,Hibernating / Lost,0
12623,275,7,3747.84,2,3,4,234,At-Risk High Value,1
12624,105,2,641.13,2,2,2,222,Hibernating / Lost,0
12625,211,4,5164.88,2,3,4,234,At-Risk High Value,0
12626,22,9,6620.48,4,4,4,444,Champions,0
12627,10,7,4478.53,4,3,4,434,Champions,0
12628,3,3,786.46,4,2,2,422,Loyal Customers,0
12629,385,2,1558.22,1,2,3,123,Hibernating / Lost,1
12630,9,2,1270.88,4,2,3,423,Loyal Customers,0
12631,56,6,3481.57,3,3,4,334,Champions,0
12632,520,2,804.88,1,2,2,122,Hibernating / Lost,1
12633,58,7,5678.16,3,3,4,334,Champions,0
12634,535,2,490.0,1,2,2,122,Hibernating / Lost,1
12635,89,4,2930.41,3,3,4,334,Champions,0
12636,738,1,141.0,1,1,1,111,Hibernating / Lost,1
12637,66,12,8283.81,3,4,4,344,Champions,0
12638,32,2,921.49,3,2,3,323,Loyal Customers,0
12639,238,3,1312.37,2,2,3,223,Hibernating / Lost,0
12640,23,3,1174.58,4,2,3,423,Loyal Customers,0
12641,114,1,185.9,2,1,1,211,Hibernating / Lost,0
12642,24,3,1013.26,4,2,3,423,Loyal Customers,0
12643,127,12,8304.82,2,4,4,244,At-Risk High Value,0
12644,129,4,1918.49,2,3,3,233,At-Risk High Value,0
12645,33,8,3539.2999999999997,3,4,4,344,Champions,0
12646,4,2,1346.97,4,2,3,423,Loyal Customers,0
12647,21,36,16955.55,4,4,4,444,Champions,0
12648,154,4,1112.0,2,3,3,233,At-Risk High Value,0
12649,106,8,2294.65,2,4,4,244,At-Risk High Value,0
12650,2,1,314.44,4,1,1,411,Recent / New Customers,0
12651,334,4,377.75,2,3,2,232,Needs Attention,1
12652,330,2,1017.03,2,2,3,223,Hibernating / Lost,1
12653,148,3,4160.83,2,2,4,224,Hibernating / Lost,0
12654,10,5,601.98,4,3,2,432,Loyal Customers,0
12655,423,1,261.35,1,1,1,111,Hibernating / Lost,1
12656,16,8,6407.83,4,4,4,444,Champions,0
12657,10,4,1643.18,4,3,3,433,Champions,0
12658,18,1,686.05,4,1,2,412,Recent / New Customers,0
12659,29,1,91.68,3,1,1,311,Recent / New Customers,0
12660,10,1,245.1,4,1,1,411,Recent / New Customers,0
12661,435,1,162.0,1,1,1,111,Hibernating / Lost,1
12662,0,20,6726.54,4,4,4,444,Champions,0
12663,624,2,239.4,1,2,1,121,Hibernating / Lost,1
12664,7,11,6070.04,4,4,4,444,Champions,0
12665,324,3,313.6,2,2,1,221,Hibernating / Lost,1
12666,393,1,1248.42,1,1,3,113,Hibernating / Lost,1
12667,57,1,620.13,3,1,2,312,Recent / New Customers,0
12668,11,10,11383.03,4,4,4,444,Champions,0
12669,150,3,2744.0299999999997,2,2,4,224,Hibernating / Lost,0
12670,9,7,3760.29,4,3,4,434,Champions,0
12671,605,1,2622.48,1,1,4,114,Hibernating / Lost,1
12672,329,2,437.05,2,2,2,222,Hibernating / Lost,1
12673,4,3,1230.02,4,2,3,423,Loyal Customers,0
12674,38,4,1970.6,3,3,3,333,Champions,0
12675,553,2,957.25,1,2,3,123,Hibernating / Lost,1
12676,24,11,2843.09,4,4,4,444,Champions,0
12677,554,2,395.1,1,2,2,122,Hibernating / Lost,1
12678,41,21,34281.18,3,4,4,344,Champions,0
12679,58,4,1113.02,3,3,3,333,Champions,0
12680,0,4,880.81,4,3,3,433,Champions,0
12681,14,45,29834.76,4,4,4,444,Champions,0
12682,3,52,22950.22,4,4,4,444,Champions,0
12683,3,21,11633.7,4,4,4,444,Champions,0
12684,7,7,2283.63,4,3,4,434,Champions,0
12685,27,6,2863.08,3,3,4,334,Champions,0
12686,371,1,89.14,2,1,1,211,Hibernating / Lost,1
12687,480,2,2138.91,1,2,3,123,Hibernating / Lost,1
12688,113,1,4873.81,2,1,4,214,Hibernating / Lost,0
12689,25,2,1247.61,4,2,3,423,Loyal Customers,0
12690,205,1,389.01,2,1,2,212,Hibernating / Lost,0
12691,27,7,1170.4,3,3,3,333,Champions,0
12692,636,1,110.95,1,1,1,111,Hibernating / Lost,1
12693,126,7,1703.02,2,3,3,233,At-Risk High Value,0
12694,69,3,1843.35,3,2,3,323,Loyal Customers,0
12695,6,7,1407.1200000000001,4,3,3,433,Champions,0
12696,434,2,851.91,1,2,2,122,Hibernating / Lost,1
12697,28,3,957.59,3,2,3,323,Loyal Customers,0
12698,589,1,339.75,1,1,1,111,Hibernating / Lost,1
12699,417,1,638.11,1,1,2,112,Hibernating / Lost,1
12700,7,4,4939.99,4,3,4,434,Champions,0
12701,79,6,2446.41,3,3,4,334,Champions,0
12702,19,1,219.0,4,1,1,411,Recent / New Customers,0
12703,70,4,1006.53,3,3,3,333,Champions,0
12704,6,8,2340.84,4,4,4,444,Champions,0
12705,14,14,11762.1,4,4,4,444,Champions,0
12707,291,1,603.42,2,1,2,212,Hibernating / Lost,1
12708,29,18,5117.66,3,4,4,344,Champions,0
12709,14,34,30291.76,4,4,4,444,Champions,0
12710,96,3,1149.02,2,2,3,223,Hibernating / Lost,0
12711,611,2,1339.05,1,2,3,123,Hibernating / Lost,1
12712,28,21,6723.03,3,4,4,344,Champions,0
12713,0,1,848.55,4,1,2,412,Recent / New Customers,0
12714,8,12,14093.71,4,4,4,444,Champions,0
12715,105,1,343.36,2,1,2,212,Hibernating / Lost,0
12716,3,2,1053.49,4,2,3,423,Loyal Customers,0
12717,150,3,1308.91,2,2,3,223,Hibernating / Lost,0
12718,70,1,238.25,3,1,1,311,Recent / New Customers,0
12719,4,2,644.95,4,2,2,422,Loyal Customers,0
12720,2,30,7787.28,4,4,4,444,Champions,0
12721,31,8,4013.08,3,4,4,344,Champions,0
12722,84,4,997.63,3,3,3,333,Champions,0
12723,3,5,725.07,4,3,2,432,Loyal Customers,0
12724,4,7,2317.52,4,3,4,434,Champions,0
12725,370,4,2266.7599999999998,2,3,4,234,At-Risk High Value,1
12726,27,11,4014.6,3,4,4,344,Champions,0
12727,10,10,5679.53,4,4,4,444,Champions,0
12728,70,5,1070.17,3,3,3,333,Champions,0
12729,113,1,453.01,2,1,2,212,Hibernating / Lost,0
12730,521,1,829.25,1,1,2,112,Hibernating / Lost,1
12731,23,17,25775.71,4,4,4,444,Champions,0
12732,179,1,236.26,2,1,1,211,Hibernating / Lost,0
12733,233,4,2424.87,2,3,4,234,At-Risk High Value,0
12734,352,3,639.65,2,2,2,222,Hibernating / Lost,1
12735,314,2,779.5699999999999,2,2,2,222,Hibernating / Lost,1
12736,332,1,234.0,2,1,1,211,Hibernating / Lost,1
12737,498,2,3710.5,1,2,4,124,Hibernating / Lost,1
12738,371,1,155.35,2,1,1,211,Hibernating / Lost,1
12739,77,4,2726.73,3,3,4,334,Champions,0
12740,63,1,427.6,3,1,2,312,Recent / New Customers,0
12741,528,2,406.07,1,2,2,122,Hibernating / Lost,1
12742,625,1,1201.52,1,1,3,113,Hibernating / Lost,1
12743,133,2,540.13,2,2,2,222,Hibernating / Lost,0
12744,51,11,25317.06,3,4,4,344,Champions,0
12745,486,3,925.41,1,2,3,123,Hibernating / Lost,1
12746,540,1,254.55,1,1,1,111,Hibernating / Lost,1
12747,1,26,8898.48,4,4,4,444,Champions,0
12748,0,336,53539.64,4,4,4,444,Champions,3
12749,3,9,6897.36,4,4,4,444,Champions,0
12750,128,1,275.88,2,1,1,211,Hibernating / Lost,0
12751,444,1,268.27,1,1,1,111,Hibernating / Lost,1
12752,80,1,4366.78,3,1,4,314,Recent / New Customers,0
12753,22,6,21429.39,4,3,4,434,Champions,0
12754,235,3,3010.7400000000002,2,2,4,224,Hibernating / Lost,0
12755,280,11,5236.26,2,4,4,244,At-Risk High Value,0
12756,86,1,112.08,3,1,1,311,Recent / New Customers,0
12757,15,13,7834.650000000001,4,4,4,444,Champions,0
12758,116,7,9903.24,2,3,4,234,At-Risk High Value,0
12759,51,8,5020.74,3,4,4,344,Champions,0
12760,455,1,347.8,1,1,2,112,Hibernating / Lost,1
12761,457,2,782.95,1,2,2,122,Hibernating / Lost,1
12762,7,2,1898.52,4,2,3,423,Loyal Customers,0
12763,137,2,494.08,2,2,2,222,Hibernating / Lost,0
12764,316,1,1693.88,2,1,3,213,Hibernating / Lost,1
12765,471,6,1404.58,1,3,3,133,At-Risk High Value,1
12766,3,9,8918.99,4,4,4,444,Champions,0
12767,375,1,949.8199999999999,2,1,3,213,Hibernating / Lost,1
12768,450,1,168.69,1,1,1,111,Hibernating / Lost,1
12769,238,1,1143.6,2,1,3,213,Hibernating / Lost,0
12770,210,2,3246.45,2,2,4,224,Hibernating / Lost,0
12771,485,1,282.3,1,1,1,111,Hibernating / Lost,1
12772,59,1,892.47,3,1,3,313,Recent / New Customers,0
12773,563,1,124.25,1,1,1,111,Hibernating / Lost,1
12774,535,1,98.7,1,1,1,111,Hibernating / Lost,1
12775,16,7,1686.12,4,3,3,433,Champions,0
12776,667,1,55.5,1,1,1,111,Hibernating / Lost,1
12777,457,1,519.45,1,1,2,112,Hibernating / Lost,1
12778,19,9,1775.68,4,4,3,443,Champions,0
12779,37,14,6474.11,3,4,4,344,Champions,0
12780,598,1,337.4,1,1,1,111,Hibernating / Lost,1
12781,63,2,826.74,3,2,2,322,Loyal Customers,0
12782,4,11,4618.24,4,4,4,444,Champions,0
12783,1,6,2225.91,4,3,3,433,Champions,0
12784,8,3,1763.15,4,2,3,423,Loyal Customers,0
12785,363,3,1100.4,2,2,3,223,Hibernating / Lost,1
12786,609,1,728.5,1,1,2,112,Hibernating / Lost,1
12787,9,4,862.18,4,3,2,432,Loyal Customers,0
12788,462,4,444.9,1,3,2,132,Needs Attention,1
12789,64,3,273.35,3,2,1,321,Loyal Customers,0
12790,191,2,591.85,2,2,2,222,Hibernating / Lost,0
12791,373,6,863.51,2,3,2,232,Needs Attention,1
12792,256,2,827.01,2,2,2,222,Hibernating / Lost,1
12793,334,3,885.53,2,2,3,223,Hibernating / Lost,1
12794,52,2,860.41,3,2,2,322,Loyal Customers,0
12795,18,1,430.48,4,1,2,412,Recent / New Customers,0
12796,627,1,381.0,1,1,2,112,Hibernating / Lost,1
12797,365,2,552.08,2,2,2,222,Hibernating / Lost,1
12798,9,4,8510.93,4,3,4,434,Champions,0
12799,528,1,219.35,1,1,1,111,Hibernating / Lost,1
12800,469,3,584.25,1,2,2,122,Hibernating / Lost,1
12801,500,1,1071.82,1,1,3,113,Hibernating / Lost,1
12802,186,7,2416.42,2,3,4,234,At-Risk High Value,0
12803,392,1,1092.81,1,1,3,113,Hibernating / Lost,1
12804,465,2,325.37,1,2,1,121,Hibernating / Lost,1
12805,381,4,1434.95,1,3,3,133,At-Risk High Value,1
12806,434,4,2878.96,1,3,4,134,At-Risk High Value,1
12807,382,1,330.35,1,1,1,111,Hibernating / Lost,1
12808,36,5,776.7,3,3,2,332,Loyal Customers,0
12809,177,3,1755.94,2,2,3,223,Hibernating / Lost,0
12810,534,2,534.99,1,2,2,122,Hibernating / Lost,1
12811,260,5,1033.9,2,3,3,233,At-Risk High Value,0
12812,44,1,229.64,3,1,1,311,Recent / New Customers,0
12813,501,3,1687.8,1,2,3,123,Hibernating / Lost,1
12814,101,1,125.92,2,1,1,211,Hibernating / Lost,0
12815,147,2,1063.46,2,2,3,223,Hibernating / Lost,0
12816,95,2,572.2,3,2,2,322,Loyal Customers,0
12817,280,3,690.98,2,2,2,222,Hibernating / Lost,1
12818,261,1,1542.08,2,1,3,213,Hibernating / Lost,1
12819,457,1,540.52,1,1,2,112,Hibernating / Lost,1
12820,2,11,2689.52,4,4,4,444,Champions,0
12821,213,2,220.8,2,2,1,221,Hibernating / Lost,0
